time;status;gx;gy;gz;ax;ay;az
2022-12-01T08:35:48.185;77;-0.63552517;0.04558377;-2.39904514;-6.49780273;1.50695801;6.99859619
2022-12-01T08:35:48.195;77;-0.67934028;-0.02622613;-2.27211372;-6.50268555;1.34857178;7.03750610
2022-12-01T08:35:48.205;77;-0.70666233;-0.08518880;-2.16826172;-6.51596069;1.11541748;7.08053589
2022-12-01T08:35:48.215;77;-0.70976563;-0.12917752;-2.04854601;-6.56524658;0.90957642;7.12860107
2022-12-01T08:35:48.225;77;-0.68759766;-0.16167535;-1.92201606;-6.61865234;0.71594238;7.20962524
2022-12-01T08:35:48.235;77;-0.63885634;-0.18432075;-1.78503689;-6.73843384;0.58532715;7.39135742
2022-12-01T08:35:48.245;77;-0.56662326;-0.19366319;-1.63689236;-6.81213379;0.47348022;7.64617920
2022-12-01T08:35:48.255;77;-0.48023003;-0.19465061;-1.47925347;-6.83914185;0.32409668;7.87033081
2022-12-01T08:35:48.265;77;-0.38388672;-0.18490668;-1.31196832;-6.78985596;0.17135620;8.06411743
2022-12-01T08:35:48.275;77;-0.29009332;-0.15304905;-1.13808594;-6.82479858;0.05584717;8.08410645
2022-12-01T08:35:48.285;77;-0.20164931;-0.11805556;-0.97620443;-6.69952393;0.00991821;8.02276611
2022-12-01T08:35:48.295;77;-0.12287326;-0.09607205;-0.81693793;-6.69082642;-0.02761841;7.90969849
2022-12-01T08:35:48.305;77;-0.05511068;-0.09039714;-0.68030599;-6.72744751;-0.00549316;7.87216187
2022-12-01T08:35:48.315;77;-0.00120443;-0.08999566;-0.55658637;-6.72363281;0.02761841;7.87994385
2022-12-01T08:35:48.325;77;0.04751519;-0.09406467;-0.44310981;-6.68167114;0.02487183;7.92129517
2022-12-01T08:35:48.335;77;0.07413194;-0.09850260;-0.34262153;-6.65161133;-0.02014160;7.97302246
2022-12-01T08:35:48.345;77;0.07452257;-0.08680556;-0.24979384;-6.63330078;-0.07629395;7.97088623
2022-12-01T08:35:48.355;77;0.04622396;-0.05570747;-0.16166450;-6.63970947;-0.10070801;7.87933350
2022-12-01T08:35:48.365;77;-0.00003255;-0.03247613;-0.07439236;-6.71249390;-0.11749268;7.75878906
2022-12-01T08:35:48.375;77;-0.05379774;-0.03398438;0.01125217;-6.76254272;-0.08483887;7.63824463
2022-12-01T08:35:48.385;77;-0.10875651;-0.05874566;0.09359809;-6.83258057;-0.04486084;7.59521484
